Rank,Family Name,Given Name,Nationality,Time,Date,Location,Event,Gender,Year,Distance
62,Groenewoud,Jade,NED,"4.15,61",2021-02-21,Heerenveen (NED),Oefensessie Junioren A/B,f,2020,3000
63,Tomita,Yuuka,JPN,"4.15,67",2020-11-08,Obihiro (JPN),2020 Obihiro Forest Speed Skating Competition,f,2020,3000
64,Lamb,Maria,USA,"4.15,85",2020-12-04,Salt Lake City (USA),December International Race,f,2020,3000
65,Takahashi,Nana,JPN,"4.15,91",2021-02-11,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,3000
66,Kavaliova,Hanna,BLR,"4.15,92",2021-01-24,Heerenveen (NED),ISU World Cup #1,f,2020,3000
67,Gomez,Laura,COL,"4.15,95",2021-03-06,Salt Lake City (USA),Colombia - National Championships 2021,f,2020,3000
68,Han,Mei,CHN,"4.16,87",2021-04-07,Beijing-National (CHN),Olympic Test,f,2020,3000
69,Behlau,Leia,GER,"4.17,00",2021-01-16,Heerenveen (NED),European Championships 2021,f,2020,3000
70,Miyagawa,Suzuka,JPN,"4.17,31",2021-02-11,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,3000
71,Bats,Leonie,NED,"4.17,62",2020-12-14,Heerenveen (NED),Oefensessie 6 KTT Noord / STF-Gewest Fryslan,f,2020,3000
72,Wenger,Nadja,SUI,"4.17,92",2020-11-22,Inzell (GER),International Race,f,2020,3000
73,Adake,Ahenaer,CHN,"4.18,11",2021-04-07,Beijing-National (CHN),Olympic Test,f,2020,3000
74,Kitahara,Moe,JPN,"4.18,18",2021-02-11,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,3000
75,Jurak,Jamie,USA,"4.18,46",2021-03-06,Salt Lake City (USA),USA - Open National Championships 2021,f,2020,3000
76,Yin,Qi,CHN,"4.18,62",2021-04-07,Beijing-National (CHN),Olympic Test,f,2020,3000
77,Kumagai,Honoka,JPN,"4.19,00",2020-11-13,Obihiro (JPN),2020/2021 All Japan Selected Speed Skating Competition,f,2020,3000
78,de Boer,Myrthe,NED,"4.19,06",2020-12-14,Heerenveen (NED),Oefensessie 6 KTT Noord / STF-Gewest Fryslan,f,2020,3000
79,Kosheleva,Ekaterina,RUS,"4.19,20",2020-10-29,Kolomna,Russia - Single Distances Championships 2021,f,2020,3000
80,Karai,Maho,JPN,"4.19,29",2020-11-13,Obihiro (JPN),2020/2021 All Japan Selected Speed Skating Competition,f,2020,3000
81,Takigami,Tsukushi,JPN,"4.19,46",2021-03-07,Hachinohe - YS Arena (JPN),2021 Nagane Final Competition,f,2020,3000
82,Momose,Manami,JPN,"4.19,86",2021-02-11,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,3000
83,Fukuoka,Ayuri,JPN,"4.20,36",2020-12-16,Nagano (JPN),65th Nagano Prefectural High School Competition,f,2020,3000
84,Gelling,Evi,NED,"4.20,47",2021-02-07,Heerenveen (NED),KNSB TalentTeams Oefensessie 2,f,2020,3000
85,Kraaijeveld,Sophie,NED,"4.20,82",2021-02-21,Heerenveen (NED),Oefensessie Junioren A/B,f,2020,3000
86,Tsujimoto,Arisa,JPN,"4.20,95",2020-11-13,Obihiro (JPN),2020/2021 All Japan Selected Speed Skating Competition,f,2020,3000
87,Chernova,Anna,RUS,"4.21,12",2020-10-29,Kolomna,Russia - Single Distances Championships 2021,f,2020,3000
87,Weigel,Dessie,USA,"4.21,12",2021-01-09,Salt Lake City (USA),Super Salty Cup,f,2020,3000
89,Yazawa,Akari,JPN,"4.21,18",2021-02-11,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,3000
90,Härdi,Ramona,SUI,"4.21,37",2021-01-31,Heerenveen (NED),ISU World Cup #2,f,2020,3000
91,Gąsecka,Karolina,POL,"4.21,61",2020-10-03,Inzell (GER),International Race,f,2020,3000
92,Yamada,Mai,JPN,"4.21,78",2021-03-07,Hachinohe - YS Arena (JPN),2021 Nagane Final Competition,f,2020,3000
93,Akiyama,Mitsuki,JPN,"4.21,91",2021-02-11,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,3000
94,Bocox,Brianna,USA,"4.22,02",2021-02-05,Salt Lake City (USA),Time Trials,f,2020,3000
95,Koyama,Karuna,JPN,"4.22,15",2021-02-11,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,3000
96,Kim,Bo-Reum,KOR,"4.22,19",2021-03-27,Seoul (KOR),2021 Korean Ice Skating Federation President's Competition,f,2020,3000
97,Fukuda,Kotone,JPN,"4.22,21",2020-10-23,Nagano (JPN),Japan - Single Distances Championships 2021,f,2020,3000
98,Takahashi,Mio,JPN,"4.22,23",2021-02-11,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,3000
99,Chen,Xiangyu,CHN,"4.22,27",2021-04-07,Beijing-National (CHN),Olympic Test,f,2020,3000
100,van Oorschot,Diede,NED,"4.22,39",2021-02-21,Heerenveen (NED),Oefensessie Junioren A/B,f,2020,3000
1,Schouten,Irene,NED,"6.48,53",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,5000
2,Voronina,Natalia,RUS,"6.50,99",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,5000
3,Achtereekte,Carlijn,NED,"6.52,22",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,5000
4,Sáblíková,Martina,CZE,"6.53,22",2021-01-17,Heerenveen (NED),European Championships 2021,f,2020,5000
5,Weidemann,Isabelle,CAN,"6.56,18",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,5000
6,Rijpma-de Jong,Antoinette,NED,"6.57,72",2021-01-17,Heerenveen (NED),European Championships 2021,f,2020,5000
7,Wiklund,Ragne,NOR,"6.58,76",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,5000
8,Visser,Esmee,NED,"6.59,00",2020-10-17,Heerenveen (NED),Trainingswedstrijd Topteams en NOC/NSF-Status,f,2020,5000
9,Beune,Joy,NED,"7.00,93",2020-12-28,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,5000
10,Anema,Reina,NED,"7.01,37",2020-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2021,f,2020,5000
11,Takagi,Miho,JPN,"7.05,40",2021-02-21,Hachinohe - YS Arena (JPN),Japan - Unofficial Championships 2021,f,2020,5000
12,in 't Hof,Sanne,NED,"7.05,66",2020-12-14,Heerenveen (NED),Oefensessie 6 KTT Noord / STF-Gewest Fryslan,f,2020,5000
13,Wijfje,Melissa,NED,"7.05,80",2020-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2021,f,2020,5000
14,Maltais,Valerie,CAN,"7.05,83",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,5000
15,Pechstein,Claudia,GER,"7.05,95",2021-01-09,Inzell (GER),Frillensee Cup / Invitation Race,f,2020,5000
15,Zueva,Marina,BLR,"7.05,95",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,5000
17,Oshigiri,Misaki,JPN,"7.06,52",2021-02-21,Hachinohe - YS Arena (JPN),Japan - Unofficial Championships 2021,f,2020,5000
18,Lollobrigida,Francesca,ITA,"7.07,48",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,5000
19,Manganello,Mia,USA,"7.08,52",2021-03-07,Salt Lake City (USA),USA - Open National Championships 2021,f,2020,5000
20,Hijlkema,Aveline,NED,"7.10,24",2020-12-28,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,5000
21,Conijn,Merel,NED,"7.10,99",2020-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2021,f,2020,5000
22,Haugen,Sofie Karoline,NOR,"7.11,35",2021-01-02,Hamar (NOR),Testløp - Mjøsteam / NSF,f,2020,5000
23,Williamson,Lemi,JPN,"7.11,46",2020-11-15,Obihiro (JPN),2020/2021 All Japan Selected Speed Skating Competition,f,2020,5000
24,Verweij,Maaike,NED,"7.12,40",2020-12-28,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,5000
25,Vijn,Evelien,NED,"7.12,71",2020-12-28,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,5000
26,Sakai,Nene,JPN,"7.13,15",2020-11-22,Hachinohe - YS Arena (JPN),2020/2021 All Japan Selected Speed Skating Competition,f,2020,5000
27,Takagi,Nana,JPN,"7.13,68",2021-02-21,Hachinohe - YS Arena (JPN),Japan - Unofficial Championships 2021,f,2020,5000
28,Sato,Ayano,JPN,"7.13,76",2021-02-21,Hachinohe - YS Arena (JPN),Japan - Unofficial Championships 2021,f,2020,5000
29,Kiel,Esther,NED,"7.14,23",2020-12-28,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,5000
30,Blokker,Roza,NED,"7.14,74",2020-12-28,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,5000
31,Lalenkova,Evgeniia,RUS,"7.15,82",2020-11-01,Kolomna,Russia - Single Distances Championships 2021,f,2020,5000
32,Hendriks,Chantal,NED,"7.16,43",2020-12-19,Heerenveen (NED),Oefensessie 9,f,2020,5000
33,Czyszczoń,Magdalena,POL,"7.18,07",2020-11-22,Tomaszów-Mazowiecki (POL),Poland - Allround Championships 2021,f,2020,5000
34,Golubeva,Elizaveta,KAZ,"7.19,16",2021-01-17,Heerenveen (NED),European Championships 2021,f,2020,5000
35,Kitahara,Moe,JPN,"7.20,30",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,5000
36,Momose,Manami,JPN,"7.20,81",2020-11-22,Hachinohe - YS Arena (JPN),2020/2021 All Japan Selected Speed Skating Competition,f,2020,5000
37,Takahashi,Nana,JPN,"7.22,47",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,5000
38,Groot,Robin,NED,"7.22,92",2020-12-28,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,5000
39,Sokhryakova,Elena,RUS,"7.23,13",2020-11-01,Kolomna,Russia - Single Distances Championships 2021,f,2020,5000
40,Tomita,Yuuka,JPN,"7.23,53",2021-03-06,Hachinohe - YS Arena (JPN),2021 Nagane Final Competition,f,2020,5000
41,Morozova,Nadezhda,KAZ,"7.23,59",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,5000
42,Grigoreva,Anastasiia,RUS,"7.23,87",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,5000
43,Kavaliova,Hanna,BLR,"7.24,50",2020-11-28,Minsk,International Race,f,2020,5000
44,Kumagai,Honoka,JPN,"7.24,51",2020-11-07,Obihiro (JPN),2020 Obihiro Forest Speed Skating Competition,f,2020,5000
45,Lamb,Maria,USA,"7.24,54",2021-03-07,Salt Lake City (USA),USA - Open National Championships 2021,f,2020,5000
46,Jansen,Eline,NED,"7.25,48",2021-01-09,Heerenveen (NED),KNSB TalentTeams Oefensessie 1,f,2020,5000
47,Jurak,Jamie,USA,"7.26,43",2021-03-07,Salt Lake City (USA),USA - Open National Championships 2021,f,2020,5000
48,Bøhm,Marit Fjellanger,NOR,"7.26,58",2021-01-02,Hamar (NOR),Testløp - Mjøsteam / NSF,f,2020,5000
49,Kosaka,Rin,JPN,"7.26,80",2020-10-25,Nagano (JPN),Japan - Single Distances Championships 2021,f,2020,5000
50,Dedden,Ineke,NED,"7.26,81",2020-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2021,f,2020,5000
51,Fukuoka,Ayuri,JPN,"7.27,53",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,5000
52,Takigami,Tsukushi,JPN,"7.27,81",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,5000
53,Wenger,Nadja,SUI,"7.28,03",2020-11-21,Inzell (GER),International Race,f,2020,5000
54,Chen,Xiangyu,CHN,"7.28,04",2021-04-08,Beijing-National (CHN),Olympic Test,f,2020,5000
55,Onodera,Yuna,JPN,"7.28,53",2020-10-25,Nagano (JPN),Japan - Single Distances Championships 2021,f,2020,5000
56,Gomi,Mayuka,JPN,"7.28,63",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,5000
57,Adake,Ahenaer,CHN,"7.28,72",2021-04-08,Beijing-National (CHN),Olympic Test,f,2020,5000
58,Yamada,Mai,JPN,"7.29,14",2021-03-06,Hachinohe - YS Arena (JPN),2021 Nagane Final Competition,f,2020,5000
59,Uwano,Eriko,JPN,"7.29,50",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,5000
60,Weigel,Dessie,USA,"7.29,83",2021-03-07,Salt Lake City (USA),USA - Open National Championships 2021,f,2020,5000
61,Sloeva,Ekaterina,BLR,"7.30,38",2021-01-08,Minsk,Belarus - Open Allround Championships 2021,f,2020,5000
62,van Voorden,Eline,NED,"7.30,68",2021-01-09,Heerenveen (NED),KNSB TalentTeams Oefensessie 1,f,2020,5000
63,Bosiek,Karolina,POL,"7.31,05",2020-11-22,Tomaszów-Mazowiecki (POL),Poland - Allround Championships 2021,f,2020,5000
64,Rossi,Linda,ITA,"7.31,76",2021-02-27,Baselga di Pinè (ITA),Italy - Allround/Sprint Championships 2021,f,2020,5000
65,Chernova,Anna,RUS,"7.31,88",2020-11-01,Kolomna,Russia - Single Distances Championships 2021,f,2020,5000
66,Lancee,Gioya,NED,"7.32,50",2020-11-22,Heerenveen (NED),Netherlands - Allround Championships 2021,f,2020,5000
67,Koyama,Karuna,JPN,"7.33,00",2020-11-22,Hachinohe - YS Arena (JPN),2020/2021 All Japan Selected Speed Skating Competition,f,2020,5000
68,Czerwonka,Natalia,POL,"7.35,82",2020-11-22,Tomaszów-Mazowiecki (POL),Poland - Allround Championships 2021,f,2020,5000
69,Akiyama,Mitsuki,JPN,"7.36,94",2020-11-07,Obihiro (JPN),2020 Obihiro Forest Speed Skating Competition,f,2020,5000
70,Njåtun,Ida,NOR,"7.37,92",2020-11-01,Hamar (NOR),Norway - Single Distances Championships 2020,f,2020,5000
71,Kosheleva,Ekaterina,RUS,"7.39,13",2020-11-01,Kolomna,Russia - Single Distances Championships 2021,f,2020,5000
72,Kerschbaummayr,Natálie,AUT,"7.39,74",2021-02-26,Inzell (GER),Internationales Rennen,f,2020,5000
73,Fukuda,Kotone,JPN,"7.40,77",2020-11-15,Obihiro (JPN),2020/2021 All Japan Selected Speed Skating Competition,f,2020,5000
74,Morino,Kokoro,JPN,"7.41,81",2020-11-07,Obihiro (JPN),2020 Obihiro Forest Speed Skating Competition,f,2020,5000
75,Ezzi,Ranya,SWE,"7.43,47",2021-03-07,Salt Lake City (USA),USA - Open National Championships 2021,f,2020,5000
76,Antošová,Veronika,CZE,"7.43,96",2021-01-09,Inzell (GER),Frillensee Cup / Invitation Race,f,2020,5000
77,Maeda,Azusa,JPN,"7.44,63",2020-11-07,Obihiro (JPN),2020 Obihiro Forest Speed Skating Competition,f,2020,5000
78,Hayashi,Miku,JPN,"7.45,48",2020-11-07,Obihiro (JPN),2020 Obihiro Forest Speed Skating Competition,f,2020,5000
79,Eranina,Elena,RUS,"7.45,70",2021-03-14,Irkutsk-Baikal,Russia - Allround Championships 2021,f,2020,5000
80,Hall,Laura,CAN,"7.45,83",2020-12-05,Salt Lake City (USA),December International Race,f,2020,5000
81,Birkeland,Giorgia,USA,"7.46,00",2021-03-07,Salt Lake City (USA),USA - Open National Championships 2021,f,2020,5000
82,Furnée,Marte Bjerkreim,NOR,"7.46,52",2021-03-07,Hamar (NOR),Norway - National Championships 2021,f,2020,5000
83,Beskrovnykh,Darya,RUS,"7.46,59",2020-11-01,Kolomna,Russia - Single Distances Championships 2021,f,2020,5000
83,Osano,Azusa,JPN,"7.46,59",2021-02-21,Hachinohe - YS Arena (JPN),Japan - Unofficial Championships 2021,f,2020,5000
85,Bekker,Alisa,RUS,"7.48,22",2021-03-14,Irkutsk-Baikal,Russia - Allround Championships 2021,f,2020,5000
86,An,Hyang-Mi,PRK,"7.48,41",2021-01-29,Samjion (PRK),National Competition,f,2020,5000
87,Kimura,Yuki,JPN,"7.48,70",2020-12-13,Hachinohe - YS Arena (JPN),73rd Aomori Prefecture Allround Championships,f,2020,5000
88,Miyasaka,Nao,JPN,"7.48,85",2020-11-22,Hachinohe - YS Arena (JPN),2020/2021 All Japan Selected Speed Skating Competition,f,2020,5000
89,Choe,Rim-Hyang,PRK,"7.49,58",2021-01-29,Samjion (PRK),National Competition,f,2020,5000
90,Sasaki,Haruka,JPN,"7.50,24",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,5000
91,Kim,Hyo-Sim,PRK,"7.50,35",2021-01-29,Samjion (PRK),National Competition,f,2020,5000
92,Jabrzyk,Natalia,POL,"7.50,61",2020-11-22,Tomaszów-Mazowiecki (POL),Poland - Allround Championships 2021,f,2020,5000
93,Haugli,Marie Bakken,NOR,"7.51,93",2021-03-07,Hamar (NOR),Norway - National Championships 2021,f,2020,5000
94,Hanaoka,Koto,JPN,"7.52,12",2021-03-06,Hachinohe - YS Arena (JPN),2021 Nagane Final Competition,f,2020,5000
95,Sætersdal,Victoria Keltie,NOR,"7.53,44",2021-03-07,Hamar (NOR),Norway - National Championships 2021,f,2020,5000
96,Pak,Chol-Ok,PRK,"7.53,48",2021-01-29,Samjion (PRK),National Competition,f,2020,5000
97,Rim,Sol-Gyong,PRK,"7.53,67",2021-01-29,Samjion (PRK),National Competition,f,2020,5000
98,Mikhailava,Tatsiana,BLR,"7.54,34",2021-01-08,Minsk,Belarus - Open Allround Championships 2021,f,2020,5000
99,Wakahara,Kono,JPN,"7.55,52",2020-11-07,Obihiro (JPN),2020 Obihiro Forest Speed Skating Competition,f,2020,5000
100,Yasuda,Ayaka,JPN,"7.55,62",2020-12-13,Hachinohe - YS Arena (JPN),73rd Aomori Prefecture Allround Championships,f,2020,5000
100,Svenni,Hanna,NOR,"7.55,62",2021-03-07,Hamar (NOR),Norway - National Championships 2021,f,2020,5000
1,Golikova,Angelina,RUS,"36,66",2021-12-11,Calgary (CAN),ISU World Cup #4,f,2021,500
2,Fatkulina,Olga,RUS,"36,72",2021-12-10,Calgary (CAN),ISU World Cup #4,f,2021,500
3,Kodaira,Nao,JPN,"36,76",2021-12-11,Calgary (CAN),ISU World Cup #4,f,2021,500
4,Wójcik,Andżelika,POL,"36,77",2021-12-04,Salt Lake City (USA),ISU World Cup #3,f,2021,500
5,Jackson,Erin,USA,"36,80",2021-12-03,Salt Lake City (USA),ISU World Cup #3,f,2021,500
6,Kok,Femke,NED,"36,96",2021-12-04,Salt Lake City (USA),ISU World Cup #3,f,2021,500
7,Kachanova,Daria,RUS,"36,98",2021-12-04,Salt Lake City (USA),ISU World Cup #3,f,2021,500
8,Tian,Ruining,CHN,"37,03",2021-12-04,Salt Lake City (USA),ISU World Cup #3,f,2021,500
9,Ziomek,Kaja,POL,"37,08",2021-12-11,Calgary (CAN),ISU World Cup #4,f,2021,500
10,Takagi,Miho,JPN,"37,12",2022-02-13,Beijing-National (CHN),Olympic Winter Games 2022,f,2021,500
11,Kim,Min-Sun,KOR,"37,20",2021-12-10,Calgary (CAN),ISU World Cup #4,f,2021,500
11,Silaeva,Kristina,KAZ,"37,20",2021-12-11,Calgary (CAN),ISU World Cup #4,f,2021,500
13,Leerdam,Jutta,NED,"37,22",2021-12-03,Salt Lake City (USA),ISU World Cup #3,f,2021,500
14,Goetz,Kimi,USA,"37,25",2021-12-03,Salt Lake City (USA),ISU World Cup #3,f,2021,500
15,Herzog,Vanessa,AUT,"37,28",2022-02-13,Beijing-National (CHN),Olympic Winter Games 2022,f,2021,500
16,Jin,Jingzhu,CHN,"37,29",2021-12-04,Salt Lake City (USA),ISU World Cup #3,f,2021,500
17,Go,Arisa,JPN,"37,32",2021-12-04,Salt Lake City (USA),ISU World Cup #3,f,2021,500
18,Bowe,Brittany,USA,"37,39",2021-12-11,Calgary (CAN),ISU World Cup #4,f,2021,500
19,de Jong,Michelle,NED,"37,52",2021-12-11,Calgary (CAN),ISU World Cup #4,f,2021,500
20,Aydova,Yekaterina,KAZ,"37,55",2021-12-04,Salt Lake City (USA),ISU World Cup #3,f,2021,500
21,Damaratskaya,Hanna,BLR,"37,56",2021-12-04,Salt Lake City (USA),ISU World Cup #3,f,2021,500
22,Voskamp,Dione,NED,"37,57",2021-12-11,Calgary (CAN),ISU World Cup #4,f,2021,500
23,Yamane,Kako,JPN,"37,75",2021-12-11,Calgary (CAN),ISU World Cup #4,f,2021,500
24,Schulting,Suzanne,NED,"37,79",2021-12-28,Heerenveen (NED),Olympisch Kwalificatietoernooi,f,2021,500
25,Tsuji,Maki,JPN,"37,81",2021-12-10,Calgary (CAN),ISU World Cup #4,f,2021,500
26,Fledderus,Marrit,NED,"37,83",2021-12-28,Heerenveen (NED),Olympisch Kwalificatietoernooi,f,2021,500
27,Hudey,Marsha,CAN,"37,84",2021-12-04,Salt Lake City (USA),ISU World Cup #3,f,2021,500
28,Carruthers,Heather,CAN,"37,85",2021-09-18,Calgary (CAN),Time Trials,f,2021,500
28,McDougall,Brooklyn,CAN,"37,85",2021-10-13,Calgary (CAN),Canada - Long Track Championships 2022,f,2021,500
30,Huang,Yu-Ting,TPE,"37,87",2021-12-04,Salt Lake City (USA),ISU World Cup #3,f,2021,500
31,Poutsma,Selma,NED,"37,89",2021-12-28,Heerenveen (NED),Olympisch Kwalificatietoernooi,f,2021,500
32,Bosiek,Karolina,POL,"37,92",2021-12-04,Salt Lake City (USA),ISU World Cup #3,f,2021,500
32,de Jong,Letitia,NED,"37,92",2021-12-11,Calgary (CAN),ISU World Cup #4,f,2021,500
32,Stollenga,Esmé,NED,"37,92",2021-12-28,Heerenveen (NED),Olympisch Kwalificatietoernooi,f,2021,500
35,Irvine,Kaylin,CAN,"37,93",2021-10-13,Calgary (CAN),Canada - Long Track Championships 2022,f,2021,500
36,Samsonsen,Julie Nistad,NOR,"37,94",2021-12-04,Salt Lake City (USA),ISU World Cup #3,f,2021,500
37,Zhang,Lina,CHN,"37,98",2021-12-03,Salt Lake City (USA),ISU World Cup #3,f,2021,500
37,Inagawa,Kurumi,JPN,"37,98",2022-02-13,Nagano (JPN),20th M-Wave Competition,f,2021,500
39,ter Mors,Jorien,NED,"38,00",2021-10-30,Heerenveen (NED),Netherlands - Single Distances Championships 2022,f,2021,500
39,Drost,Helga,NED,"38,00",2021-12-28,Heerenveen (NED),Olympisch Kwalificatietoernooi,f,2021,500
41,Yamada,Rio,JPN,"38,05",2021-12-03,Salt Lake City (USA),ISU World Cup #3,f,2021,500
42,Beuling,Femke,NED,"38,09",2021-10-30,Heerenveen (NED),Netherlands - Single Distances Championships 2022,f,2021,500
43,Zdráhalová,Nikola,CZE,"38,10",2021-12-11,Calgary (CAN),ISU World Cup #4,f,2021,500
44,Ripsrud,Martine,NOR,"38,12",2021-12-11,Calgary (CAN),ISU World Cup #4,f,2021,500
45,Agafoshina,Elizaveta,RUS,"38,21",2021-12-04,Salt Lake City (USA),ISU World Cup #3,f,2021,500
46,van Elst,Isabelle,BEL,"38,23",2021-12-28,Heerenveen (NED),Olympisch Kwalificatietoernooi,f,2021,500
47,Pei,Chong,CHN,"38,24",2021-12-10,Calgary (CAN),ISU World Cup #4,f,2021,500
47,Warren,Sarah,USA,"38,24",2021-12-11,Calgary (CAN),ISU World Cup #4,f,2021,500
49,Verkerk,Naomi,NED,"38,25",2021-10-30,Heerenveen (NED),Netherlands - Single Distances Championships 2022,f,2021,500
50,Grevelt,Isabel,NED,"38,27",2021-10-30,Heerenveen (NED),Netherlands - Single Distances Championships 2022,f,2021,500
51,Warmuth,Sophie,GER,"38,34",2021-12-11,Calgary (CAN),ISU World Cup #4,f,2021,500
51,de Neeling,Sanneke,NED,"38,34",2021-12-28,Heerenveen (NED),Olympisch Kwalificatietoernooi,f,2021,500
53,Rodriguez,Maria Victoria,ARG,"38,35",2021-12-04,Salt Lake City (USA),ISU World Cup #3,f,2021,500
54,Kim,Hyun-Yung,KOR,"38,36",2021-12-11,Calgary (CAN),ISU World Cup #4,f,2021,500
55,Hogaş,Mihaela,ROU,"38,37",2021-12-11,Calgary (CAN),ISU World Cup #4,f,2021,500
56,Tsujimoto,Arisa,JPN,"38,39",2021-12-29,Nagano (JPN),Olympic Selection Competition,f,2021,500
57,Li,Qishi,CHN,"38,42",2021-10-03,Urumqi (CHN),China Cup Speed Skating Elite League #2,f,2021,500
58,Smit,Pien,NED,"38,46",2021-11-28,Inzell (GER),ISU Junior World Cup #1,f,2021,500
59,Rijpma-de Jong,Antoinette,NED,"38,49",2021-12-20,Heerenveen (NED),Trainingswedstrijd Topteams en Deelnemers OKT,f,2021,500
59,Sato,Ayano,JPN,"38,49",2022-03-05,Hamar (NOR),World Championships 2022,f,2021,500
61,Kuznetsova,Irina,RUS,"38,50",2021-12-26,Kolomna,7th B.I. Shavyrin Memorial,f,2021,500
62,van Beijnum,Marit,NED,"38,52",2021-10-30,Heerenveen (NED),Netherlands - Single Distances Championships 2022,f,2021,500
63,Soga,Konami,JPN,"38,53",2021-12-29,Nagano (JPN),Olympic Selection Competition,f,2021,500
63,Toi,Saori,JPN,"38,53",2022-01-05,Obihiro (JPN),94th Japan Student Championships,f,2021,500
65,Lugters,Maud,NED,"38,55",2021-10-30,Heerenveen (NED),Netherlands - Single Distances Championships 2022,f,2021,500
66,van Beek,Lotte,NED,"38,57",2021-10-30,Heerenveen (NED),Netherlands - Single Distances Championships 2022,f,2021,500
67,Morozova,Nadezhda,KAZ,"38,59",2022-03-05,Hamar (NOR),World Championships 2022,f,2021,500
68,Park,Chae-Eun,KOR,"38,61",2021-12-15,Calgary (CAN),Four Continents Championships 2022,f,2021,500
68,Wüst,Ireen,NED,"38,61",2022-01-22,Heerenveen (NED),Netherlands - Sprint Championships 2022,f,2021,500
70,Lee,Na-Hyun,KOR,"38,64",2021-11-28,Inzell (GER),ISU Junior World Cup #1,f,2021,500
71,Golubeva,Elizaveta,KAZ,"38,65",2021-10-20,Kolomna,Russia Cup 1,f,2021,500
71,Bocox,Brianna,USA,"38,65",2021-12-04,Salt Lake City (USA),ISU World Cup #3,f,2021,500
73,Tas,Sandrine,BEL,"38,66",2021-12-10,Calgary (CAN),ISU World Cup #4,f,2021,500
74,Takagi,Nana,JPN,"38,71",2022-03-05,Hamar (NOR),World Championships 2022,f,2021,500
75,Yoshida,Yukino,JPN,"38,78",2021-12-29,Nagano (JPN),Olympic Selection Competition,f,2021,500
76,Hoekstra,Jildou,NED,"38,79",2021-10-30,Heerenveen (NED),Netherlands - Single Distances Championships 2022,f,2021,500
77,Lamarche,Béatrice,CAN,"38,80",2022-03-18,Calgary (CAN),Oval Finale - Canada Cup 4,f,2021,500
78,Pearman,Maddison,CAN,"38,81",2021-10-13,Calgary (CAN),Canada - Long Track Championships 2022,f,2021,500
79,de Boer,Myrthe,NED,"38,82",2021-10-30,Heerenveen (NED),Netherlands - Single Distances Championships 2022,f,2021,500
